,Algorithm,Graph name,k,Found result,Time (perf)
773,Branching DFS Recursive,Petersen,4,False,8049300
774,Branching DFS Recursive,Petersen,5,False,17086000
775,Branching DFS Recursive,Petersen,6,True,5199300
776,Branching DFS Recursive,Petersen,7,True,1667500
777,Branching DFS Recursive,Petersen,8,True,1152100
778,Branching DFS Recursive,Petersen,9,True,1755000
779,Branching DFS Recursive,Petersen,10,True,2576000
780,Branching DFS Recursive,Petersen,1,False,834900
781,Branching DFS Recursive,Petersen,2,False,1843700
782,Branching DFS Recursive,Petersen,3,False,5263400
783,Branching DFS Recursive,Petersen,4,False,9600900
784,Branching DFS Recursive,Petersen,5,False,15971900
785,Branching DFS Recursive,Petersen,6,True,6332000
786,Branching DFS Recursive,Petersen,7,True,1947700
787,Branching DFS Recursive,Petersen,8,True,1232300
788,Branching DFS Recursive,Petersen,9,True,1677000
789,Branching DFS Recursive,Petersen,10,True,1244800
790,Branching DFS Recursive,Petersen,1,False,402300
791,Branching DFS Recursive,Petersen,2,False,1518900
792,Branching DFS Recursive,Petersen,3,False,4044400
793,Branching DFS Recursive,Petersen,4,False,8899700
794,Branching DFS Recursive,Petersen,5,False,13815100
795,Branching DFS Recursive,Petersen,6,True,7405400
796,Branching DFS Recursive,Petersen,7,True,3409100
797,Branching DFS Recursive,Petersen,8,True,2370100
798,Branching DFS Recursive,Petersen,9,True,2356000
799,Branching DFS Recursive,Petersen,10,True,2363700
800,Branching DFS Recursive,Petersen,1,False,952300
801,Branching DFS Recursive,Petersen,2,False,2396000
802,Branching DFS Recursive,Petersen,3,False,5213700
803,Branching DFS Recursive,Petersen,4,False,9475000
804,Branching DFS Recursive,Petersen,5,False,15025900
805,Branching DFS Recursive,Petersen,6,True,7743800
806,Branching DFS Recursive,Petersen,7,True,2801300
807,Branching DFS Recursive,Petersen,8,True,1008800
808,Branching DFS Recursive,Petersen,9,True,1034600
809,Branching DFS Recursive,Petersen,10,True,689500
810,Branching DFS Recursive,Petersen,1,False,308700
811,Branching DFS Recursive,Petersen,2,False,1062500
812,Branching DFS Recursive,Petersen,3,False,2498600
813,Branching DFS Recursive,Petersen,4,False,7960400
814,Branching DFS Recursive,Petersen,5,False,15704600
815,Branching DFS Recursive,Petersen,6,True,6030400
816,Branching DFS Recursive,Petersen,7,True,1977200
817,Branching DFS Recursive,Petersen,8,True,1955000
818,Branching DFS Recursive,Petersen,9,True,2609700
819,Branching DFS Recursive,Petersen,10,True,1083200
820,Branching DFS Recursive,Petersen,1,False,374400
821,Branching DFS Recursive,Petersen,2,False,1567700
822,Branching DFS Recursive,Petersen,3,False,4363900
823,Branching DFS Recursive,Petersen,4,False,9255400
824,Branching DFS Recursive,Petersen,5,False,16652900
825,Branching DFS Recursive,Petersen,6,True,7355200
826,Branching DFS Recursive,Petersen,7,True,3443200
827,Branching DFS Recursive,Petersen,8,True,2354000
828,Branching DFS Recursive,Petersen,9,True,2450400
829,Branching DFS Recursive,Petersen,10,True,2379200
830,Branching DFS Recursive,Petersen,1,False,945700
831,Branching DFS Recursive,Petersen,2,False,2375800
832,Branching DFS Recursive,Petersen,3,False,3787400
833,Branching DFS Recursive,Petersen,4,False,5852100
834,Branching DFS Recursive,Petersen,5,False,8585200
835,Branching DFS Recursive,Petersen,6,True,5018200
836,Branching DFS Recursive,Petersen,7,True,3585300
837,Branching DFS Recursive,Petersen,8,True,2484400
838,Branching DFS Recursive,Petersen,9,True,2370600
839,Branching DFS Recursive,Petersen,10,True,2526500
840,Branching DFS Recursive,Petersen,1,False,918400
841,Branching DFS Recursive,Petersen,2,False,2523300
842,Branching DFS Recursive,Petersen,3,False,5268800
843,Branching DFS Recursive,Petersen,4,False,7307800
844,Branching DFS Recursive,Petersen,5,False,14937600
845,Branching DFS Recursive,Petersen,6,True,3545900
846,Branching DFS Recursive,Petersen,7,True,3412400
847,Branching DFS Recursive,Petersen,8,True,2739900
848,Branching DFS Recursive,Petersen,9,True,1206400
849,Branching DFS Recursive,Petersen,10,True,1267400
850,Branching DFS Recursive,Petersen,1,False,402000
851,Branching DFS Recursive,Petersen,2,False,1097300
852,Branching DFS Recursive,Petersen,3,False,4747200
853,Branching DFS Recursive,Petersen,4,False,9510300
854,Branching DFS Recursive,Petersen,5,False,10999400
855,Branching DFS Recursive,Petersen,6,True,7648300
856,Branching DFS Recursive,Petersen,7,True,3005300
